epoch,open,high,low,close
1783284120,62710.042,62710.512,62709.487,62710.102
1783284180,62710.102,62710.545,62710.067,62710.073
1783284240,62710.073,62716.923,62710.073,62716.664
1783284300,62716.883,62719.299,62716.872,62719.011
1783284360,62719.015,62727.76,62718.949,62727.76
1783284420,62727.766,62731.352,62723.838,62724.663
1783284480,62724.665,62731.399,62724.662,62730.948
1783284540,62731.003,62734.376,62719.683,62719.683
1783284600,62712.752,62728.126,62712.752,62727.214
1783284660,62727.468,62734.795,62727.273,62734.665
1783284720,62734.659,62734.659,62723.645,62725.924
1783284780,62725.923,62727.259,62725.556,62726.879
1783284840,62727.15,62727.19,62706.429,62706.429
1783284900,62706.402,62720.168,62706.402,62719.812
1783284960,62719.812,62724.277,62715.445,62720.505
1783285020,62720.511,62720.511,62708.35,62709.279
1783285080,62709.265,62718.599,62709.233,62717.404
1783285140,62717.404,62717.448,62704.563,62704.571
1783285200,62704.581,62704.652,62669.807,62669.853
1783285260,62669.846,62669.869,62641.385,62660.217
1783285320,62660.272,62660.272,62647.519,62650.838
1783285380,62650.838,62657.35,62640.91,62640.916
1783285440,62640.917,62654.086,62635.026,62639.877
1783285500,62639.81,62643.534,62628.483,62630.109
1783285560,62629.974,62630.114,62610.398,62618.482
1783285620,62618.476,62618.477,62580.574,62585.336
1783285680,62588.838,62603.804,62581.55,62592.239
1783285740,62592.211,62614.647,62592.211,62613.683
1783285800,62617.044,62654.958,62617.044,62650.568
1783285860,62650.592,62657.127,62650.592,62655.989
1783285920,62655.886,62703.257,62655.886,62702.916
1783285980,62702.912,62724.025,62702.912,62723.997
1783286040,62724.012,62734.688,62707.999,62712.141
1783286100,62712.185,62712.185,62695.321,62697.219
1783286160,62697.219,62721.217,62695.627,62704.024
1783286220,62703.993,62728.111,62703.99,62726.821
1783286280,62726.846,62791.377,62726.818,62791.315
1783286340,62791.367,62878.016,62791.367,62878.016
1783286400,62878.019,62878.019,62835.206,62855.138
1783286460,62855.143,62855.143,62826.135,62831.467
1783286520,62825.422,62870.637,62825.184,62864.482
1783286580,62864.791,62910.32,62854.386,62891.112
1783286640,62891.109,62891.109,62849.305,62849.311
1783286700,62849.322,62881.779,62834.415,62845.097
1783286760,62844.645,62862.671,62844.645,62860.152
1783286820,62860.152,62860.253,62850.335,62850.421
1783286880,62850.256,62891.018,62850.256,62890.652
1783286940,62890.665,62909.436,62889.454,62890.809
1783287000,62890.824,63020.662,62890.824,62976.987
1783287060,62971.055,62983.824,62929.551,62929.886
1783287120,62929.789,62929.996,62896.765,62913.184
1783287180,62913.281,62921.272,62900.617,62915.126
1783287240,62913.159,62913.284,62880.161,62880.161
1783287300,62880.176,62894.072,62862.272,62880.451
1783287360,62880.37,62922.054,62880.27,62922.054
1783287420,62921.572,62949.295,62907.912,62908.205
1783287480,62908.208,62929.127,62908.208,62924.859
1783287540,62924.835,62924.843,62895.544,62907.529
1783287600,62907.527,62930.575,62898.793,62930.575
1783287660,62930.425,62943.352,62917.655,62926.36
1783287720,62926.357,62937.025,62911.718,62912.681
1783287780,62912.666,62980.336,62912.287,62980.336
1783287840,62971.01,63005.87,62959.88,63002.494
1783287900,63002.521,63025.533,63002.521,63003.248
1783287960,63003.103,63003.103,62955.1,62965.207
1783288020,62965.14,62982.144,62965.049,62973.232
1783288080,62973.232,62973.233,62934.247,62958.96
1783288140,62958.892,62958.892,62929.179,62939.699
1783288200,62939.699,62959.333,62938.853,62943.692
1783288260,62943.44,62943.601,62919.23,62919.23
1783288320,62918.438,62926.78,62914.331,62914.441
1783288380,62914.381,62938.758,62914.381,62926.759
1783288440,62926.759,63041.414,62926.754,63025.266
1783288500,63025.78,63176.346,63016.673,63119.218
1783288560,63118.931,63201.604,63101.761,63177.416
1783288620,63179.839,63182.697,63150.05,63178.065
1783288680,63178.073,63178.087,63129.863,63129.863
1783288740,63129.866,63129.866,63064.521,63069.768
1783288800,63069.469,63072.955,62999.558,63031.325
1783288860,63042.305,63042.305,62979.466,62979.466
1783288920,62984.203,63052.596,62982.667,63052.596
1783288980,63052.596,63133.079,63052.596,63084.491
